Tanggal;Total_Produk_Terjual;Status_Toko;Apel;Belimbing;Jagung;Jeruk;Jambu;Mangga;Melon;Naga;Nenas;Pokat;Semangka;Sirsak;Terong Belanda;Tomat;Timun;Apel Ice Cream;Belimbing Ice Cream;Jagung Ice Cream;Jeruk Ice Cream;Jambu Ice Cream;Mangga Ice Cream;Melon Ice Cream;Naga Ice Cream;Nenas Ice Cream;Pokat Ice Cream;Semangka Ice Cream;Sirsak Ice Cream;Tomat Ice Cream;Terong Belanda Ice Cream;Timun Ice Cream;Ice Cream 9;Ice Cream 12;Ice Cream 15
01/11/2025;523;1;11;1;5;31;8;77;1;25;4;131;9;17;17;4;0;3;1;3;3;0;57;0;12;1;67;2;6;0;7;0;15;5;0
02/11/2025;559;1;8;6;8;34;6;92;3;19;2;117;3;19;14;6;3;1;1;3;8;0;72;3;10;2;85;3;2;0;8;0;11;6;4
03/11/2025;82;1;2;1;0;8;3;8;0;3;1;27;0;3;1;0;0;1;0;0;1;0;3;0;4;0;11;0;3;0;0;0;0;1;1
04/11/2025;408;1;4;3;6;22;4;57;4;19;3;114;9;7;11;0;4;2;0;0;5;3;28;1;10;2;66;2;0;0;10;0;7;0;5
05/11/2025;433;1;12;5;0;20;11;70;0;17;9;116;14;12;1;1;4;1;0;1;3;0;35;0;7;0;81;0;2;0;0;0;9;1;1
06/11/2025;422;1;8;4;2;27;12;62;2;34;3;119;3;13;0;0;6;4;0;7;5;0;27;2;11;0;59;1;7;0;0;1;0;3;0
07/11/2025;427;1;8;4;3;25;7;46;1;27;9;115;5;16;15;0;5;2;0;1;3;0;25;0;9;2;75;0;3;0;6;0;13;0;2
08/11/2025;450;1;13;0;0;29;8;68;1;24;8;133;9;18;18;4;0;0;0;5;0;2;23;1;8;0;66;0;0;0;0;3;5;3;1
09/11/2025;467;1;5;2;12;24;8;55;0;28;9;135;7;9;19;1;6;0;0;5;1;1;37;1;10;0;71;2;3;0;3;0;8;5;0
10/11/2025;399;1;10;1;4;31;8;48;1;20;6;102;7;12;1;2;2;3;1;1;10;3;23;1;8;1;78;1;4;0;0;0;7;2;1
